社区ID,节点数,内部边数,外部边数,社区密度,平均聚类系数,社区凝聚力,代表节点
C0,62,144,222,0.07615018508725542,0.17472779434354385,0.39344262295081966,"['User_127', 'User_073', 'User_298']"
C4,25,36,81,0.12,0.08466666666666667,0.3076923076923077,"['User_256', 'User_196', 'User_248']"
C1,21,25,73,0.11904761904761904,0.0,0.25510204081632654,"['User_187', 'User_217', 'User_035']"
C2,19,25,86,0.14619883040935672,0.043859649122807015,0.22522522522522523,"['User_207', 'User_067', 'User_004']"
C8,17,19,52,0.13970588235294118,0.08431372549019608,0.2676056338028169,"['User_096', 'User_243', 'User_284']"
C6,14,15,44,0.16483516483516483,0.0,0.2542372881355932,"['User_015', 'User_254', 'User_132']"
C7,11,13,27,0.23636363636363636,0.07575757575757575,0.325,"['User_237', 'User_214', 'User_164']"
C15,11,12,30,0.21818181818181817,0.07575757575757575,0.2857142857142857,"['User_153', 'User_290', 'User_089']"
C5,11,13,43,0.23636363636363636,0.12445887445887446,0.23214285714285715,"['User_154', 'User_012', 'User_198']"
C10,10,11,38,0.24444444444444444,0.1380952380952381,0.22448979591836735,"['User_144', 'User_219', 'User_063']"
C9,8,8,26,0.2857142857142857,0.0,0.23529411764705882,"['User_038', 'User_037', 'User_099']"
C12,7,8,25,0.38095238095238093,0.0,0.24242424242424243,"['User_176', 'User_130', 'User_056']"
C14,7,6,23,0.2857142857142857,0.0,0.20689655172413793,"['User_077', 'User_273', 'User_166']"
C3,7,8,23,0.38095238095238093,0.5904761904761904,0.25806451612903225,"['User_231', 'User_299', 'User_297']"
C18,6,6,17,0.4,0.27777777777777773,0.2608695652173913,"['User_094', 'User_249', 'User_113']"
C22,6,5,16,0.3333333333333333,0.0,0.23809523809523808,"['User_123', 'User_192', 'User_141']"
C20,6,6,16,0.4,0.36111111111111116,0.2727272727272727,"['User_227', 'User_097', 'User_125']"
C19,6,5,17,0.3333333333333333,0.0,0.22727272727272727,"['User_178', 'User_095', 'User_204']"
C11,6,5,15,0.3333333333333333,0.0,0.25,"['User_294', 'User_220', 'User_046']"
C16,5,4,17,0.4,0.0,0.19047619047619047,"['User_076', 'User_275', 'User_201']"
C21,5,4,16,0.4,0.0,0.2,"['User_262', 'User_287', 'User_117']"
C24,5,4,12,0.4,0.0,0.25,"['User_136', 'User_218', 'User_135']"
C13,4,3,10,0.5,0.0,0.23076923076923078,"['User_060', 'User_277', 'User_184']"
C25,4,3,9,0.5,0.0,0.25,"['User_170', 'User_259', 'User_272']"
C17,3,2,9,0.6666666666666666,0.0,0.18181818181818182,"['User_286', 'User_091', 'User_225']"
C23,3,2,9,0.6666666666666666,0.0,0.18181818181818182,"['User_173', 'User_131', 'User_129']"
C27,3,2,7,0.6666666666666666,0.0,0.2222222222222222,"['User_199', 'User_212', 'User_241']"
C28,3,2,7,0.6666666666666666,0.0,0.2222222222222222,"['User_208', 'User_215', 'User_233']"
C29,3,2,7,0.6666666666666666,0.0,0.2222222222222222,"['User_278', 'User_257', 'User_252']"
C26,2,1,7,1.0,0.0,0.125,"['User_186', 'User_285']"
