社区ID,节点数,内部边数,外部边数,社区密度,平均聚类系数,社区凝聚力,代表节点
C12,33,44,93,0.08333333333333333,0.0,0.32116788321167883,"['User_298', 'User_116', 'User_220']"
C3,32,48,107,0.0967741935483871,0.1275974025974026,0.3096774193548387,"['User_217', 'User_243', 'User_168']"
C0,29,41,110,0.10098522167487685,0.05911330049261084,0.271523178807947,"['User_127', 'User_290', 'User_011']"
C4,29,40,94,0.09852216748768473,0.11703239289446186,0.29850746268656714,"['User_073', 'User_145', 'User_076']"
C2,29,49,116,0.1206896551724138,0.19594964422550626,0.296969696969697,"['User_157', 'User_132', 'User_229']"
C1,26,29,64,0.08923076923076922,0.057692307692307696,0.3118279569892473,"['User_153', 'User_054', 'User_015']"
C8,25,35,85,0.11666666666666667,0.1368888888888889,0.2916666666666667,"['User_203', 'User_267', 'User_266']"
C9,23,29,66,0.11462450592885376,0.08902691511387163,0.30526315789473685,"['User_207', 'User_035', 'User_156']"
C10,19,31,77,0.18128654970760233,0.19473684210526315,0.28703703703703703,"['User_187', 'User_067', 'User_043']"
C5,19,27,61,0.15789473684210525,0.10776942355889724,0.3068181818181818,"['User_238', 'User_057', 'User_009']"
C11,14,15,32,0.16483516483516483,0.0,0.3191489361702128,"['User_278', 'User_237', 'User_214']"
C7,14,16,38,0.17582417582417584,0.0,0.2962962962962963,"['User_194', 'User_268', 'User_228']"
C6,8,7,17,0.25,0.0,0.2916666666666667,"['User_277', 'User_060', 'User_197']"
